# burst start time 	 initial parameter guess 
090122037a	 118.919000	0.0 8.2940496401 -4.60517018599 0.83 9.21034037198 0.87 11.512925465
090122037a	 121.745000	1.09861228867 8.2940496401 -4.60517018599 0.1 7.60090245954 0.8 8.98719682066
090122037a	 129.295000	0.69314718056 8.2940496401 -4.60517018599 0.83 8.51719319142 0.87 9.21034037198 0.92 8.85366542804 1.3 8.51719319142
090122037a	 135.406000	0.69314718056 8.2940496401 -3.50655789732 0.8 8.51719319142 1.0 8.00636756765
090122037a	 141.670000	0.69314718056 8.2940496401 -2.30258509299 0.9 7.60090245954 1.5 8.00636756765
090122037a	 142.298000	0.69314718056 8.2940496401 -2.30258509299 0.3 7.60090245954 0.9 8.00636756765
090122037a	 143.513000	0.69314718056 8.2940496401 -4.60517018599 0.82 8.85366542804 1.0 8.51719319142 1.32 9.47270463644
090122037a	 146.418000	0.69314718056 8.2940496401 -4.60517018599 0.3 8.51719319142 0.35 11.512925465
090122037a	 151.910000	0.69314718056 8.2940496401 -4.60517018599 0.8 8.51719319142 1.25 8.51719319142 1.4 8.51719319142 1.75 8.51719319142
090122037a	 154.924000	0.69314718056 8.2940496401 -4.60517018599 0.25 8.00636756765 0.8 8.2940496401 0.85 9.10497985632 0.9 8.85366542804
090122037a	 156.270000	0.69314718056 8.2940496401 -4.60517018599 0.8 8.69951474821 0.85 8.51719319142 1.15 9.61580548008 1.55 8.51719319142
090122037a	 161.563000	0.69314718056 8.2940496401 -5.11599580975 0.88 9.90348755254
090122037a	 162.352000	0.69314718056 8.2940496401 -4.60517018599 0.88 9.21034037198 0.95 10.8197782844 1.0 10.1266311039 1.05 9.21034037198
090122037a	 170.992000	0.69314718056 8.2940496401 -5.11599580975 0.8 11.4075649493
090122037a	 176.231000	0.69314718056 8.1315307106 -4.60517018599 0.28 9.10497985632 0.82 9.5468126086
090122037a	 179.878000	0.69314718056 8.1315307106 -4.8283137373 0.82 9.10497985632 0.88 9.10497985632
090122037a	 186.763000	0.0 8.1315307106 -2.99573227355 0.9 8.51719319142
090122037a	 194.467000	0.0 8.1315307106 -4.60517018599 0.17 8.85366542804 0.82 11.156250521 1.82 9.21034037198 1.9 8.51719319142
090122037a	 196.968000	0.0 8.1315307106 -4.60517018599 0.8 8.51719319142 0.96 9.90348755254 1.22 8.51719319142 1.28 8.51719319142 1.55 8.98719682066
090122037a	 200.849000	0.0 8.1315307106 -4.60517018599 0.08 8.2940496401 0.8 9.21034037198
090122037a	 207.445000	0.0 8.1315307106 -4.60517018599 0.82 10.8197782844 1.02 8.69951474821 1.05 8.69951474821 1.15 9.61580548008 1.2 10.5966347331 1.25 10.8197782844 1.28 10.3089526606 1.65 8.51719319142
090122037a	 211.002000	0.0 8.1315307106 -4.60517018599 0.82 8.85366542804 1.05 8.51719319142
090122037a	 216.231000	0.0 8.1315307106 -4.60517018599 0.8 9.21034037198 0.88 8.85366542804
090122037a	 221.549000	0.0 8.1315307106 -3.50655789732 0.82 8.98719682066 1.3 8.00636756765 1.4 8.00636756765
090122037a	 35.805000	0.0 8.1315307106 -4.8283137373 0.8 9.90348755254 0.85 9.90348755254
090122037a	 6.365020	0.0 8.1315307106 -4.60517018599 0.4 8.98719682066 0.82 9.5468126086
090122037a	 63.737800	0.0 8.1315307106 -4.60517018599 0.81 8.92265829952 0.98 8.51719319142
090122037a	 68.303900	0.69314718056 8.1315307106 -4.60517018599 0.82 10.8197782844
090122037a	 95.137900	0.69314718056 8.1315307106 -5.11599580975 0.8 9.39266192877
090122037a	 99.349900	0.69314718056 8.1315307106 -4.60517018599 0.83 8.98719682066
